BE0075,R-CORREA TPO R18(2.0)/FGO(D.R)
RE0728,R-VACUM CARB R19
RE0730,.R-MANGUERA RAD.INF. BREK-1400
RE0731,R-PISTONES 0.50 R19(1.7)
RE0735,R-COJINETE ARBOL LEVA./R/5.
RE0738,R-ESTOPERA 85X105X12
RE0739,R-F.AIRE R18 (1.4) BREAK
RE0740,R-ROTOR DIST R19E/CL1
RE0741,R-BASE MET.MOT DER R18(1.4)
RE0744,R-TUERCA PASAD.TIJERA R12
RE0745,R-DIODERA CASQ R11/FGO/21 (+IZQ)
RE0746,R-CAPO DEL R11/GALA
RE0747,R-VENDER 58-561736
RE0748,R-CIL.MALETA R18-TODOS C/LLAVE
RE0759,R-BUJE PLASTICO CAJA DIRECCION.R/21
RE0760,R-ABRAZ B/ESTAB. CENTRAL R12
RE0766,R-F.AIRE R12/R18(1.6)
RE0769,R-GOMA TLF CORTO R12 (LARGA)
RE0772,R-MANGUERA RAD SUP R12
RE0773,R-MANGUERA CALEF R18 CURVA
RE0777,R-ABRAZ B/ESTAB. CENTRAL R18
RE0778,R-ABRAZ B/ESTAB. CENTRAL R11
RE0780,R-BASE MET.MOT IZQ R18(1.4)
RE0785,R-BENDIX (muestra)(9d)
RE0786,R-POMO PAL CAMB R12/R18
RE0788,R-E.CARTER R18(2.0)/FGO/R21
RE0789,R-BASE MET.MOT DER R18(1.4)(leNgua)
RE0790,R-PLATINA PTA.TRAS.DER R19
RE0791,R-TORNILLO PURGA (8MM)BRONCE.
RE0792,R-GOMA B/ESTAB CENTRAL R5
RE0794,R-MANGUERA FR TRAS R18(2.0)/FGO
RE0795,R-MANGUERA FR DEL R18(2.0)/FGO
RE0796,R-GOMA B.FRENO R18-1600
RE0797,R-G/VELOC R18(1.4/1.6)
RE0798,R-TORNILLO PURGA (6MM)BRONCE
RE0799,R-TEE T/VALV GASES R11
RE0801,R-PARRILLA R21(iNy)
RE0803,R-ESTOPERA 32X45X7
RE0804,R-DISCO FRE MG1/SYM/CL2/KG/LOG/R19(1.8)
RE0805,R-B.AGUA R21(carb)
RE0806,R-TAPON CARTER R18-2000.
RE0809,R-E.TAPA VALV R18(1.6)
RE0810,.R-GOMA B/ESTAB R21(CENTRAL CORTA)
RE0811,.R-BOTON SEGURO PUERTA R18
RE0813,R-GOMA TRIP L/C MG2(aut)
RE0817,R-G/VELOC R21(aut)
RE0818,R-G/VELOC R21(siNc)
RE0820,R-FLOTADOR GAS R12
RE0821,R-KIT ROD TRAS.TW/R19 E
RE0822,R-TUERCA TRIP. R11/19/FGO/R21/CL
RE0823,.R-CARBONES.ARRANQ R11/R18GTX/FGO (P.R)
RE0824,R-ROL DEL R11/CL1/SYM1/TW
RE0825,R-ROL TRAS R11/19/GA/CL/MG/TW/SYM/LOG
RE0826,R-FLOTADOR GAS R18
RE0827,R-ASPA VENT R5-1100/R11
RE0828,R-PASADOR MES.INF R18(2.0)/FGO
RE0829,R-MEMBRANA CARB R18-2000/FUEGO
RE0830,R-GUIA ALUMINIO G/CLO R18-1600
RE0834,R-AMORT TRAS R12/R18(todos)
RE0836,R-CAPO DEL R18 1600/2000
RE0837,R-CAPO DEL R21 91> (INY)
RE0839,R-CIL FR IZQ R18(2.0)/FGO
RE0840,R-TEE CALEF R12
RE0842,R-CORREA TPO R21
RE0843,R-KIT GOMA TRIP. L/R R5
RE0844,.R-GOMA TRIP L/R R5 2-4PTAS
RE0845,.R-KIT GOMA TRIP. L/C R5/R12/R30
RE0846,R-ASPA VENT (muestra)
RE0849,R-KIT GOMA TRIP. L/C B/AN R18-2000/FG
RE0850,R-PLATINA PTA.TRA.IZQ SYM/CL2
RE0852,.R-MUNON INF. R21 RX (18mm)
RE0855,R-PAST FR (muestra)
RE0857,R-TRICETA TRIP R11/12/19/21/GAL/CL2/M
RE0859,R-TRIPOIDE R21
RE0867,R-BUJE MES.TRAS.R12(corbatiN)
RE0872,R-E.MULT ESC R18(2.0)/FGO/R21
RE0878,R-KIT CILIND RDA TRAS R18 GTX.2000
RE0879,.R-SUICHE EMERG. R12 (7T)
RE0880,R-KIT CILIND RDA TRAS R11 86-
RE0882,.R-SUICHE EMERG. R11/FGO/R18 (9/T-C/LUZ)
RE0883,R-ARO FARO IZQ. R11(cromado)
RE0884,R-ARO FARO DER. R11(cromado)
RE0886,R-CERRAD.CAPO DEL R18-1600/2000/FGO
RE0887,R-CERRAD.CAPO INF R11/GALA/R19
RE0888,R-TERMINAL R11/FUEGO
RE0889,.R-ARTIC.AXIAL. R/18-2000.
RE0890,R-ARTIC.AXIAL. R18(1.4/1.6)
RE0891,R-TUERCA ASPA VENTIL. R18 (ROSCA-IZQ
RE0893,R-BUJE SEPARADOR ROLINERA R/12
RE0897,.R-MOTOR E/V DEL R18 GTS/GTX/FGO.
RE0900,R-MANILLA PTA.EXT.DEL.IZQ R21
RE0901,R-ACCIONADOR CERRADURA.R/11 TL,GTL
RE0902,R-MANILLA PTA.EXT.DEL.DER R21
RE0903,R-ROTOR DIST GALA
RE0904,.R-G/CLOCHE TWINGO2>98 TODOS
RE0906,R-MECANISMO A/V DEL.IZQ R11/GALA MEC
RE0907,R-MECANISMO A/V DEL.DER R11/GALA MEC
RE0909,R-MECANISMO A/V DEL.DER R21 ELECT
RE0910,R-MECANISMO A/V DEL.IZQ R21 ELECT
RE0912,R-REJILLA CAPO R11 (JGO)
RE0913,.R-CUNA SINC 3ERA/4TA VEL R12/R18 TODO
RE0916,R-PARACHOQ. TRAS R11
RE0917,R-CIL FR SYM/CL2/LOG(t/bosch)
RE0918,R-ARO SINC R12/R18(1.6)(3ra-4ta)
RE0920,R-TUERCA ASPA VENTIL. R5/R11/R18
RE0921,R-ESTOPERA CIG DEL R18-1600 T/CAD
RE0924,R-SUICHE EMERG R19/R11
RE0925,.R-MICHE EMERG R5/R18/R30 (3/T)
RE0927,R-MICA PARACHOQUE R11 (TODOS)
RE0933,R-CERRAD.MALETA R12 (JGO)
RE0934,R-CERRAD.CAPO DEL R12.(TODOS)
RE0935,R-CERRAD.MALETA TRAS R5 (HEMBRA-PLAST)
RE0937,R-CABLE AVION TW2/SYM1/KG/LOG/SAND
RE0938,R-MESA INF.IZQ MG2
RE0944,R-PLATINA RETRO R12
RE0945,R-BASE TUBO ESCAPE.R/5.(4)=89-2509.
RE0947,R-ROL DEL R11/CL1/SYM1/TW
RE0956,R-B.FRENO R11/R18(2.0)/FGO(liNeal)
RE0958,R-TENSOR C/TPO. CL1/R19E/TW2 8V
RE0959,R-VALVULA AIRE CARB. R12
RE0960,.R-B.AGUA R12 S/BASE (RE0080
RE0962,R-BASE TUBO ESCAPE(ARO)/R/12,R/18-1600
RE0963,R-ARTIC.AXIAL. R11/GALA
RE0964,R-TAPON B/AGUA PEQ.
RE0965,R-AMORT TRAS CL1
RE0967,R-COLLARIN R11/R19/CL1/TW/GALA
RE0971,R-FARO DEL.IZQ R21(carb)
RE0974,R-PARRILLA R21 F1(carb)
RE0975,R-PARRILLA R18
RE0979,R-COCUYO DEL DER GALA
RE0980,R-TAPA DIST R5(marchal)(gaNcho)
RE0981,R-COCUYO DEL IZQ GALA
RE0982,R-COCUYO DEL IZQ R21(carb)
RE0983,R-COCUYO DEL DER R21(carb)
RE0985,R-KIT EMB R11/R19E/CL1/TW(S/C)
RE0987,R-STOP IZQ R11
RE0988,R-STOP DER R21(carb)(iNterNo)
RE0989,R-STOP IZQ R21(carb)(iNterNo)
RE0990,R-MICA CAPTAFARO TRAS DER R11
RE0991,R-C.BIELA 0.10 R21
RE0992,R-MICA CAPTAFARO TRAS IZQ R11
RE0993,R-BASE MOT IZQ R21
RE0994,R-BASE MOT DER R21
RE0997,R-ROTOR DIST R5/R18(marchal)
RE0999,.R-VALVULA P/ACEITE
RE100,R-VALVULA P/ACEITE R19(1.7/1.8)
RE1001,.R-BASE AMORT. DEL CL1/TW(graNde)
RE1002,R-CAJA DIREC R11(estria)
RE1003,R-CIL FR IZQ R18(1.6)/GALA/TW1
RE1004,R-JGO.PLATINAS LAME VIDRIO R18
RE1005,R-BASE TUBO ESCAPE.R/11.R/21.REGATA
RE1006,"R-CEPILLO LPB 26"""
RE1008,R-BUJIAS MG/TW2/SC2/CL2/SYM/R19E/LOG/CL9
RE101,R-B.AGUA R19E/CL1
RE1010,R-VARILLA CONT CAMB R18(corta)
RE1011,R-MOTOR LPB MG1/SC2
RE1012,R-VALVULA P/ACEITE R5/R12/R18/FGO
RE1013,R-G/FANGO. DEL.IZQ R11/GALA
RE1014,R-G/FANGO. DEL.DER R11/GALA
RE1015,R-PLATINA GUARDAF.DEL.IZQ R19
RE1016,R-PARACHOQ. DEL KG2(+2010)
RE1018,R-B.AGUA MG1/CL2/SYM2/SC2(1.6)/KG(1.6)
RE1019,R-ARTIC.AXIAL SC1
RE1020,R-INDUCIDO CORTO R11/R18 (PR)
RE1021,.R-PINON CTA.KILOM R5 (14 D)
RE1022,.R-CARBONES ARRANQ R18-2.0 (2/CARB)
RE1023,R-CREMALLERA ARRANQ R18(2.0)/FGO
RE1024,R-ARO PARRILLA CENTRAL R/12.(76-80)
RE1027,R-TRICETA TRIP MG/SC/KG
RE1028,R-TRICETA TRIP R5
RE1029,R-SUICHE ENC R11
RE1030,R-PANTALLA FARO ALTA R11
RE1031,R-PANTALLA FARO BAJA R11
RE1033,R-STOP IZQ SYM2(mica blaNca)
RE1034,R-MANGUERA FR TRAS R11/GALA
RE1035,R-GUIA VALV ADM CL1/R19E(X4)
RE1036,R-STOP DER SYM2(mica blaNca)
RE1037,R-FARO NEBLINA IZQ SYM2/CL(+05)/KG
RE1038,R-FARO NEBLINA DER SYM2/CL(+05)/KG
RE1039,.R-KIT B.FRENO R12 SENC (P/CORTO)
RE1042,.R-VALVULA TEMP. R18 (1/TERM)
RE1044,R-KIT CARB R18(2.0)/FGO
RE1045,.R-GOMA TRIP L/C DER LOG/TW/CLIO
RE1047,R-BASE MET.MOT DEL R/11
RE1048,.R-PISTONES STD MG1/CL2/SYM2/SC 1.6 C/AN
RE1049,R-PLATINA GUARDAF.DEL.DER R19
RE1050,R-ESTOPERA SELECTOR CAMBIO R21
RE1052,R-G/CLOCHE R19
RE1053,R-KIT CIL FRENO DER R11
RE1054,R-MANGUERA FR R11/GALA
RE1055,R-KIT BANDA TRAS R11 (GRADUACION)
RE1056,.R-VALVULA E/VENT. TW/MG1/MG2/SYM
RE1058,R-PARRILLA R19E
RE1059,R-KIT CORRECTOR FRENO. R/18-2000,FUEGO
RE106,R-REJILLA INF.PARACH. LOG(+08)
RE1060,R-BUJE SEL CAMB R11/CL/SYM/LOG/MG/SC
RE1062,.R-ESPEJO IZQ R18-1600 C/MANUAL
RE1063,.R-ESPEJO RETROV IZQ R18(1600-2000 MANUA
RE1065,R-PISTONES STD R21
RE1066,R-JGO.CERRAD R12 (MALET-PTA)
RE1067,R-CERRAD.PTA R11
RE1068,R-CIL.PTA MALETA R5/R12 KIT
RE1069,R-KIT GOMA BIELETA MUNECO R18-2000
RE107,R-REJILLA INF.PARACH. LOG(+08)
RE1070,.R-CONMUTADOR SUICHERA R18
RE1071,R-ABRAZ B/ESTAB. IZQ R21 (PUNT)
RE1072,R-G/ACEL. R21
RE1073,R-AMORT MALETA FGO
RE1075,R-PAST.FRE.TRAS R5-1300/R12/147
RE1077,R-B.AGUA MG1/CL2/SYM2/SC2(1.6)/KG(1.6)
RE1078,R-SUICHE VALV.LUZ RETROC R11/R21
RE1079,.R-RELE SEGURO PTA.R/11,R/18.(5/TERMINAL
RE108,R-REJILLA INF.IZQ.PARACH. LOGAN 06
RE1080,R-V.ESC.(JG4) TW2 8V
RE1081,R-EMBLEMA CAPO MEGANE ROMBO
RE1083,R-MUNON INF. R11/GAL/19/CL/TW/SY/MG
RE1085,R-TAPA ACEITE TW1
RE1087,R-V.ESC.(JG4) R18-1600 (D/CNA)
RE1088,R-ARO SINC R11/CL/LOG/SYM/TW/SC2(1.6)/MG
RE1089,R-VENDER 45-669
RE109,R-AMORT TRAS R12/R18(todos)
RE1090,.R-E.VENT R19-E/SYMB/CLIO (G-VARITY)
RE1095,R-INDUCIDO ARRANQ (muestra)
RE1097,R-GUIA COLLARIN R18-2000/FUEGO/R12 (PEQ)
RE1098,"R-EMBLEMA MALETA ""MEGANE"" (graNde)"
RE1099,R-BOCINA.TENSOR ALTERNADOR.R/11
RE1100,R-PANTALLA FARO DER R19E
RE1103,R-RACHE PEDAL EMB. R11/GAL/R19/CL
RE1104,.R-GOMA AMORT (FUELLE) R11/R19/R21
RE1105,R-FRONTAL R11 TL/GTL (86-90) (ANTIGUO)
RE1107,R-FRONTAL  DEL R21 TODOS
RE1108,R-FRONTAL R11 ANO 91 E/A (M/NVO)
RE111,R-REJILLA INF.DER.PARACH. LOGAN 06
RE1111,R-TANQUE GASOLINA R5
RE1112,.R-GOMA VALV (JGOX8) R19-1700 (TARANTO)
RE1114,R-ESTOPERA TRIP R5 (IMPORTADO)
RE1115,R-ESTOPERA  .USO.DESCONOCIDO.
RE1116,.R-E.SUPLETORIA CAMARA.R/18GTS
RE1117,R-MOZZO DEL R11/CL93/TW/SYM1
RE1121,R-BUJE ARR R11/R18(2.0)/FGO/R30
RE1122,BOTON PUERTA.R/
RE1123,R-MOZZO DEL R11/CL93/TW/SYM1
RE1124,R-ESTOPERA 80X100X8
RE1126,R-CORREA TPO MG2
RE1127,.R-CORREA MULT MEG 2  2.05/06
RE113,.R-B.FRENO R19-1.7.CL I/GAL (LPR)
RE1130,R-FARO DEL.DER CL(02-03)
RE1131,ESTOPERA RUEDA.DEL./R/12
RE1132,R-PAST.FRE.DEL R5-1300 (EUROGOLD)
RE1133,R-CORREA ALT TW2
RE1135,.R-SUICHE ENC. R19/CLIO 1
RE1137,R-TERMINAL INT. BARRITA R
RE1138,R-CARBONES ARRANQ (muestra)
RE1141,R-TERMOSTATO R19(1.7)
RE1142,R-BASE MOT DER SYM/CL2/KG
RE1143,.R-SUICHE E/V CLIO/MEG (5T)
RE1146,R-FARO DEL.DER MG1(2 bombillos)
RE1149,R-CONTROL INTENSIDAD.R/12
RE115,R-POLEA ALT. MG1/SYM/CL2/SC2(1.6)/LOG/KG
RE1150,R-ROTOR DIST R5(1.3)/R18(1.6)
RE1151,R-CIL.PTA R12
RE1152,R-V.ADM.(JG4) R11/GALA 1.6 (2/CUNAS)
RE1153,R-V.ESC.(JG4) R11/DAC/GALA (2/CUNA)
RE1154,R-V.ADM.(JG4) R12 (C/LARGA)
RE1155,R-V.ESC.(JG4) R5/R12/TW1
RE1158,R-AMORT TRAS TW(todos)
RE1160,R-POLEA B.AGUA R5-1300 (GDE)
RE1161,R-ABRAZ B/ESTAB. PUNTAS R11/R19/MG1
RE1162,R-CUNA MORDAZA (muestra)
RE1165,R-KIT EMB R19(1.7/1.8)/GALA
RE1167,R-DIODERA R11/GALA (+DER)
RE1168,R-CORREA ALT TW1
RE1170,R-DIST.PLAT R11/R12/R18 BREK(0494)
RE1173,R-E.MULT ESC R30
RE1174,R-ESPARRAGO RDA (MUESTRA)
RE1178,R-VALVULA STOP R11/R21
RE1179,R-MANILLA PTA.EXT.DER/IZQ R11/GAL/18
RE118,".R-BOBINA ENC.""C/ovalado) SY,LOG,TW 01/0"
RE1184,R-PORTA LAMPARA STOP.IZQ GALA
RE1185,R-PORTA LAMPARA STOP.DER GALA
RE1186,R-ROL AMORT R11/R19/R21
RE1189,R-TOPE GOMA CAPO DEL-TRAS R11/R18
RE1190,.R-VACUM DIST. R5 (S/MARCHAL)
RE1191,.R-VACUM DIST. R5/R12/R18-1600 (DUC)
RE1193,R-BUJIAS R11/R18(1.6)/R19(1.7)/TW1/SC1
RE1194,R-FARO NEBLINA IZQ CL(98-01)/R19E/SC1
RE1195,R-B.FRENO R5(1.1)
RE1196,R-RETEN BIELETA PAL/CAMB R11/CLIO
RE1198,R-CIL FR DER R21
RE1199,R-CIL FR IZQ R21
RE1200,R-PINON CIG. R5-1100 (SENC)
RE1201,R-MANGUERA DESF.CARB R12/R18 C/VALV
RE1203,R-G/FANGO. DEL.DER R21 INY AL/ANCHA
RE1204,R-MANGUERA DESF.CARB R5 C/VALV
RE1205,R-MANGUERA TAPA VALVULA  R12-18.
RE1206,R-VALVULA MANG.VACIO R12/R18-1600
RE1207,R-VALVULA MANG.VACIO R5
RE1208,R-TERMOSTATO TW(98-99)
RE1209,R-CERRAD.PTA DEL DER R12
RE1210,R-CERRAD.PTA DEL IZQ R12
RE1211,R-CHAPA PTA.TRAS DER R12
RE1213,R-MANGUERA CODO SUP R21
RE1214,.R-ROL AMORT DEL CL1/TW/SYM/LOG/SAND
RE1217,R-TERMINAL INT. CAJA DIR R12/R5
RE1218,R-CREMALLERA ARRANQ R5/R12 (117D)
RE1221,R-TAPA TERMOST R19(1.7)
RE1222,R-REJILLA CAPO IZQ. MG1
RE1223,.R-TUBO AGUA FUEGO
RE1225,.R-KIT PINON CLIO
RE1228,R-G/CLOCHE R18(1.4)
RE1230,R-C.BANCO 0.40 R18(1.6)
RE1231,R-GRIFO PURGA AGUA R18-2000
RE1234,R-C.BANCO 0.40 MG1/CL2/SYM/LOG/SAND
RE1235,R-TAPA CADENA R18-1600
RE1236,R-PALANCA REG.FARO DER R5
RE1237,R-INTERRUPTOR LUZ PTA R5/R11/R12/FGO
RE1238,.R-RESIST. E/VENT TW M/NVO
RE1239,R-KIT B.FRENO R5(1.3)/R12/R18(1.6)
RE1240,R-BUJE MES.INF.R19/MG1/SC/KG(08)
RE1242,.R-SILENTBLOC GOMA/METAL.R/30.
RE1243,R-SILENTBLOC GOMA/METAL.R/30.
RE1245,R-FARO DEL.DER TW2(plastico)
RE1246,R-FARO DEL.IZQ TW2(plastico)
RE125,R-COLLARIN R11/R19/CL1/TW/GALA
RE1250,R-RELE E.V R5/R11/R18/FGO(5 patas)
RE1251,R-MANGUERA TERMO-CONTACTO R21
RE1254,R-E.CARTER R19(1.7/1.8)
RE1255,R-PANTALLA FARO IZQ CL(98-01)
RE1256,R-ANILLO STD GALA
RE1257,R-ENGRANAJE B.ACEITE R18 GTS
RE1258,R-BOBINA ENC R11/R21/R19CL1/FGO
RE126,R-POLEA CIG. LOG/SAND/SYM1/KG
RE1260,R-SILICON GRIS 70 ML
RE1261,R-SILICON GRIS 50 ML
RE1263,R-KIT B.FRENO R12(78)BENDIX
RE1265,R-KIT DIST. SYM1/KG/LOG/SAND
RE1266,R-SELLO CAMISA R5(1.1)(X4)
RE1267,R-ESTOPERA TRANSM BREK-18/R11(35*50*10)
RE1269,R-CABLE BUJIAS SYM1/LOG/SAND/KG
RE1270,.R-GOMA B/ESTAB MEGANE/CLIO
RE1272,R-BUJE MES.INF.SYM/CL2/KG(02)
RE1273,R-COPA ARRANQ FGO(duc)
RE1274,R-FARO DEL.DER R21(iNy)
RE1275,R-ESTOPERA T/CADENA TW2
RE1277,R-CAMARA MOTOR. R/5-1300
RE1278,R-E.CAMARA R19(1.7)
RE128,R-BUJE MES.INF.LAG(graNde)
RE1280,.R-E.MULT ADM MEGANE
RE1281,R-ESPEJO RETROV IZQ R11/GALA
RE1282,.R-ESPEJO DER MEGANE 02/04 C/MANUAL
RE1283,R-COCUYO DEL DER R19 F1
RE1284,R-COCUYO DEL IZQ R19 F1
RE1285,R-KIT PLATINAS PARACH LOG(08)(X4)
RE1286,R-GOMA B/ESTAB (muestra)
RE1287,R-PAST.FRE R18-1600.
RE1288,R-FLOTADOR GAS R21
RE1289,R-PAST.FRE R19E/CL1/MG1/SYM1/TW/CL2 S/G
RE129,R-BUJE MES.INF.LAG(pequeNo)
RE1290,R-STOP DER R19E
RE1293,R-G/FANGO. DEL.IZQ R21 CARB A/ANCHA
RE1294,R-G/CAPO R18/FGO
RE1295,.R-E.MULT ADM SYM (X-4)
RE1298,R-CABLE BUJIAS R19(1.8)
RE1299,R-GANCHO SUP.CERRAD.MALETA.R/12
RE130,CEPILLO L/P/B. MG 2 (PAR) ( MG5035)
RE1300,R-CERRAD.MALETA INT TRAS R12/BREK
RE1303,R-GANCHO INF.CERRAD.MALETA.R/12
RE1305,.R-TENSOR C/AA MEG
RE1306,R-KIT DIST. MG2.
RE1307,.R-KIT B.FRENO R21 (S/BENDIX) FRANCES
RE1308,R-POLEA TENS. A/A SY/MG/CL/SC (CORAM)
RE1309,R-B.FRENO R21
RE131,R-GOMA B/ESTAB CENTRAL TW2 16V
RE1310,R-DEPOSITO LIGA FRENO R18-1600
RE1311,R-TERMINAL DER. MG2
RE1312,R-TERMINAL IZQ. MG2
RE1313,R-ANILLO STD SYM1/LOG/KG(1.4)/SAND
RE1315,R-CABLE AVION MG1/SYM2/CL2/SC1(automatic
RE1316,R-ROL DEL R18(2.0)/FGO/R21
RE1317,R-REFRIGERANTE TOTAL(4lts)
RE1319,R-AMORT DEL SYM1
RE132,R-KIT PINON VELOC R11/CL1/R19
RE1320,R-CERRAD.CAPO R21
RE13236,GIINA LA SABROSA
RE1324,R-MANILLA PTA.INT.IZQ R5 (N)
RE1327,.R-KIT CARB R21/11 (SOLEX)
RE1328,R-CAJERA IZQ R12
RE1329,R-CAJERA DER R12
RE133,.R-ARRANQUE R19-ENER (valeo)
RE1331,R-MICA STOP DER R18
RE1332,R-SELLO CAMISA R11/GALA/CL1/R18(1.4)(X4)
RE1338,R-VIDRIO TRAS. FUEGO (COMPLETO)
RE1340,R-MICA STOP DER GALA
RE1346,R-STOP DER R21(iNy)
RE1347,.R-SUICHE L.P.B R18/FGO (C/LUZ 5T)
RE1348,.R-SUICHE L.P.B R11 (C/LUZ 5T)
RE1349,.R-SUICHE E/V ILUM R11/FGO (5T)
RE1350,R-SUICHE E/V FGO(5T)
RE1351,.R-SUICHE E/V FGO (4T)
RE1352,.R-SUICHE E/V R11 (5T)
RE1353,.R-SUICHE E/V R11/R18 (4T)
RE1354,R-SUICHE VID.TERM R11/18 (3T)
RE1355,R-BENDIX R12
RE1358,R-G/CLOCHE R18(1.6)
RE1359,R-SOPORTE ALT. R5
RE136,.R-BUJE MES.DEL.EXT (liso) clio
RE1360,R-PISTONES STD MG1/CL2/SYM2/SC2(1.6)
RE1362,R-E.CAMARA R11/GALA
RE1363,R-TOPE PARACHOQ. DER. R12
RE1364,R-TOPE PARACHOQ. IZQ. R12
RE1365,.R-GOMA TRIP L/C IZQ R11/R19/TW/CL/KG
RE1368,R-C.AXIAL 0.25 R18/FGO/R21
RE1369,R-C.BANCO 0.10 R11/R5/CL1/R19E/TW1
RE1370,R-C.BIELA 0.40 R18(1.6)
RE1371,R-B.AGUA R21(carb)
RE1374,R-PARRILLA CAPO R19 (FILLER)
RE1375,R-ESCUDO PARRILLA R19-ENERGY
RE1376,R-MECANISMO A/V TRAS.DER SYM/CL2(elect)
RE1377,R-ROL DEL R19/CL98/MG/SC/KG/SYM2/CL2/LOG
RE1378,R-CORREA MULT SC1
RE1379,R-TAZA RUEDA RIN 15
RE1380,.R-PINON VELOC R18-2000/21 (SINC)
RE1381,R-AMORT DEL LOG
RE1384,R-MESA INF.IZQ CL(93-96)(s/muNoN)
RE1386,R-ESTOPERA 27X47X7
RE1387,R-FARO DEL.IZQ FGO
RE1388,R-AMORT TRAS LOG
RE139,R-BUJE MES.INF.SYM/CL2/KG(02)
RE1390,R-B.AGUA TW2 8V
RE1391,R-VALVULA P/ACEITE TW2 16V
RE1392,.R-SELECTOR CAMB/VEL R18-1600/2000/FGO
RE1394,.R-KIT B.FRENO DOBLE R5/12/18-1600.
RE1395,R-SOPORTE TUBO ESC. TW2(todos)
RE1396,R-MANGUERA RAD INF KG(1.4)
RE1397,R-GOMA TRIP L/C IZQ LOG
RE1398,R-BAKELITA B.GAS R5
RE1399,R-ASPA VENT R11/GALA/R30 (H.R)
RE140,.R-INYECTOR MEG1 (MARELLI)
RE1400,R-ROL TRIP IZQ R11/R19/CL/SYM/TW
RE1401,.R-G/CLOCHE SYMBOL/CLIO/KANGOO
RE1402,R-MANGUERA RAD SUP KG(1.4)
RE1403,R-CORREA MULT LAG
RE1404,R-CORRECTOR FRENAJE.FUEGO
RE1405,R-KIT VARILLAJE R18/FGO/R21
RE1406,.R-MANGUERA FRE.DEL R18-2000/FGO/UNO/PR
RE1407,R-E.VENT R5-1100/R11S/AIRE S/ROSCA
RE1409,R-ESPARRAGO R12/R18(1.6)
RE1410,.R-E.CARTER C/AUT R11/18/CORCEL
RE1411,.R-GOMA B/ESTAB R19 (2) (PUNTAS)
RE1412,R-AMORT TRAS TW(todos)
RE1414,R-F.ACEITE TW2(elemeNto)
RE1415,R-TEE MANG AGUA R18/FGO
RE1419,R-HORQUILLA 3ra-4ta R11/R19/TW/CL/SYM/MG
RE1422,R-B.AGUA R12(completa)
RE1425,R-E.CAMARA TW2 8V
RE1428,.R-TAPA DIST. R18 (MANITO T/MARC)
RE1429,R-MANGUERA RAD SUP R18(1.6)
RE1431,R-E.CAMARA TW1
RE1432,R-CONDENSADOR R5/R12 T/FEMSA
RE1435,.R-CARBONES ARRANQ R11/FGO/R21 (4)
RE1437,R-ESPEJO RETROV IZQ MG1(elect)
RE145,R-CIL.MALETA R18/30/GALA
RE1450,R-GUIA ALUMINIO G/CLO R18-1400
RE1451,R-PERRITO G/ACEL R18
RE1452,R-GOMA TLF LARGO R12 (CORTA)
RE1456,R-CORREA TPO LOG/SYM1/SAND/KG(1.4)(96D)
RE1457,R-VALVULA P/ACEITE (muestra)
RE1473,R-E.VENT FUEGO (PLANO) (MG1473)
RE1474,R-ANILLO 0.25 TW2 8V
RE1475,R-ANILLO STD TW2 8V
RE1476,R-AXIAL CIG STD R19(1.7/1.8)
RE1478,R-MANGUERA FR DEL R19
RE1479,R-CIL.MALETA R19 C/LLAVE
RE1489,R-COPA ARRANQ R11(broNco)
RE149,R-RESISTENCIA E.V MG/SYM/CL2/SC2/LOG/LAG
RE1490,R-TAPA SELECT.CAMB. R12.
RE1492,R-G/ACEL. R30.
RE150,.R-SUICHE ENC. R11/R21 OXION
RE1500,R-MOZZO TRAS R18(2.0)/FGO/R21
RE1501,.R-ROL. ARBOL LEVA R5
RE1505,R-C.BANCO 0.20 R18(2.0)/FGO/R21
RE1507,R-PANEL PUERTA DEL.DER R11
RE1508,R-PANEL PUERTA DEL.IZQ R11
RE1509,R-C.BIELA 0.20 R18(2.0)/FGO
RE1510,R-TEE CARB R5/18(2.0)
RE1511,R-FARO DEL.IZQ LOG(+08)
RE1512,R-TAPA CADENA R11/GALA
RE1513,R-MECANISMO A/V DEL.DER R18/FGO MEC
RE1515,R-DISCO FRE R19(1.7)
RE1518,R-SEPARADOR GRAD.TREN DELANT R5
RE1519,R-MICA COCUYO DEL R12
RE1520,R-TERMINAL IZQ. SYM/TW2/MG
RE1523,R-VALVULA MINIMO R5/R12
RE1524,R-GOMA B/ESTAB PUNTA R5
RE1525,R-BASE DE ESCAPE. R/19
RE1526,R-TERMOSTATO TW2(todos)
RE1529,".R-AMORT.TRAS R21 ""COFAP"""
RE1530,R-CORREA ALT R21
RE1532,R-ABRAZ B/ESTAB. CENTRAL R5.
RE1534,R-BRIDA CAJA SELECT. R/12
RE1536,.R-CORREA  A/A TW2 (TODOS)
RE1542,.R-G/ACEL. R19-1600 95/96
RE1545,R-TAPON B/AGUA REN.T T.T(20mm)
RE1547,R-COCUYO DEL DER CL(93-96)
RE1552,R-CABLE POTENC R11/GALA/R18/FGO
RE1554,R-KIT GOMA TRIP. L/C SYMB IZQ
RE1556,.R-B.AGUA R12(siN base)
RE1562,R-TORNILLO BIELA R12
RE1565,R-FARO DEL.IZQ R5
RE1568,R-MANILLA PTA.EXT.DEL.DER R19
RE1569,R-AMORT DEL DER R21
RE1570,R-CABLE BUJIAS TW2 8V
RE1585,R-BUJIAS R5/R12
